"Old Ward Code","New ward code","Ward","Borough","Year","Life_Expectancy","Childhood_Obesity","Incapacity_Benefit","Unemployment","Crime","Deliberate_Fires","GCSE_points","Unauthorised_Absence","Dependent_children","Public_Transport_Access","Homes_with_access"
"00AFHA","E05000126","Shortlands","Bromley",2009,85.4426094191899,14.828897338403,1.9855958795546,2.73761612793013,52.4703394371602,0,370.98,0.36,7.56,2.48157647058824,-6.27785391109401
"00AFHB","E05000127","West Wickham","Bromley",2009,82.5580156712946,14.0151515151515,1.67595416850858,2.73684946232003,57.1220635451868,0.543962035091732,369.96,0.26,5.52,2.16037089391492,-1.85588159951923
"00AGGD","E05000128","Belsize","Camden",2009,83.3407722045496,22.2222222222222,3.79995467338954,3.15221372838576,82.660730113787,0,359.45,1,24.64,4.12119039707593,-5.23811584393287
"00AGGE","E05000129","Bloomsbury","Camden",2009,82.1244177980317,22.2222222222222,4.11792493288747,4.90173407635711,68.3781020135006,0.383388379376166,356.63,1.19,29.01,7.89983132758457,0.890361768894628
"00AGGF","E05000130","Camden Town with Primrose Hill","Camden",2009,80.3605490010829,17.4129353233831,7.02633202264703,5.600413064243,235.096301100133,0.244425676205371,325.69,1.53,36.08,6.08986411557985,2.07523726325666
"00AGGG","E05000131","Cantelowes","Camden",2009,80.3579184067069,21.2355212355212,8.35097903110524,6.72471711521798,140.897414009874,0.434671645413843,333.19,1.12,41.2,4.8807686177278,-2.02655794685544
"00AGGH","E05000132","Fortune Green","Camden",2009,80.997933126429,23.4285714285714,5.50391836331457,4.6137096586055,110.89768821485,0.264135574178214,317.26,1.13,29.41,4.50974101103595,1.1851276168988
"00AGGJ","E05000133","Frognal and Fitzjohns","Camden",2009,82.4566004418792,10.7142857142857,2.07611534872518,2.09964354133486,68.4506070140076,0.254285316928474,333.77,1.1,10.67,4.33417216331302,-6.9558570922406
"00AGGK","E05000134","Gospel Oak","Camden",2009,80.0447349221058,20.3389830508475,9.46983441517244,6.40954978510655,95.8963017067671,0.637148516517448,312.62,1.25,39.67,4.01820772991422,-1.92525534819485
"00AGGL","E05000135","Hampstead Town","Camden",2009,84.0758121241159,18.2795698924731,2.81673403805295,1.64834407270787,74.144386128437,0.362763593403565,368.52,0.78,10.12,4.13857840959573,8.86618112053024
"00AGGM","E05000136","Haverstock","Camden",2009,80.8156323935558,24.929178470255,8.88245003709244,7.25465638854383,143.603065018837,0.749636052501907,291.02,1.66,46.17,5.01656221351779,-7.44415816049364
"00AGGN","E05000137","Highgate","Camden",2009,84.1139761088939,17.2897196261682,6.63629256955367,5.16163521178919,109.04851199979,0.744234983769134,324.9,1.01,28.41,3.87660043115569,15.8233183297854
"00AGGP","E05000138","Holborn and Covent Garden","Camden",2009,81.0398034436253,17.3553719008264,7.75831427007987,5.75382470113185,55.1745850448455,0.564928477838016,320.19,1.44,37.92,7.85318500979752,-9.43584362593262
"00AGGQ","E05000139","Kentish Town","Camden",2009,76.1712072292253,26.9480519480519,7.65281314756703,6.52293465917736,103.557573812858,0.155379883821762,299.04,1.04,39.09,5.46190752770347,-0.872752891389169
